model,family,source_registry,observable,density_status_target,comparison_group_registry,required_by,notes,source,comparison_group,implementation_status,density_implemented,estimation_attempted,converged,weak_identification,failure_reason,support_violation_rate,monotonicity_violation_rate,boundary_hit,estimation_nobs,loglik,aic,bic,registry_covered
SpecialFunctionTransformedCIR,CIR_transform,CIR Example 4,price,attempt,log_price_density,article,numerical inverse and monotonicity audit required,CIR Example 4,structural_failure,failed_diagnostic_retained,True,True,False,True,no prespecified finite monotone special-function branch covers the observed price support,,,False,0.0,,,,True
MOUF,mixed_kernel,Poisson mixed OU,log_price,estimable,log_price_density,article+methodology,joint constant-intensity fit,Poisson mixed OU,log_price_density,estimated,True,True,True,False,,0.0,0.0,False,60000.0,487589.52765472466,-975171.0553094493,-975135.0469100846,True
MCIR,mixed_kernel,Poisson mixed CIR,price,estimable,log_price_density,article+methodology,base CIR weak-identification propagates,Poisson mixed CIR,log_price_density,estimated,True,True,True,True,,0.0,0.0,False,60000.0,481220.82370575937,-962433.6474115187,-962397.639012154,True
SeasonalIntensityMOU,mixed_kernel,deterministic c(t),log_price,attempt,log_price_density,article+methodology,positive seasonal deterministic reset intensity,deterministic c(t),log_price_density,estimated,True,True,True,True,,0.0,0.0,False,60000.0,481547.8632470437,-963089.7264940874,-963062.7201945637,True
JumpOU,benchmark,jump OU,log_price,attempt,log_price_density,methodology,compound-jump transition approximation explicitly labelled,jump OU,log_price_density,estimated,True,True,True,False,,0.0,0.0,False,60000.0,484226.878263548,-968447.756527096,-968420.7502275724,True
MarkovSwitchingOU,benchmark,two-regime OU,log_price,attempt,log_price_density,methodology,hidden-state likelihood,two-regime OU,log_price_density,estimated,True,True,True,True,,0.0,0.0,True,12094.0,106674.3899828674,-213334.7799657348,-213282.976712549,True
NestedOU,benchmark,two latent OU factors,log_price,attempt,log_price_density,methodology,exact linear-Gaussian state-space likelihood,two latent OU factors,log_price_density,estimated,True,True,True,False,,0.0,0.0,False,240000.0,1604380.9800724343,-3208751.9601448686,-3208700.018173857,True
RandomWalk,benchmark,no reversion,log_price,estimable,log_price_density,methodology,strong no-reversion benchmark,no reversion,log_price_density,estimated,True,True,True,False,,0.0,0.0,False,60000.0,473459.97784683586,,,True
GaussianGammaStationary,copula_margin,Gaussian copula + stationary Gamma,positive_state,attempt,copula_density,article,article gamma Case 1 sign condition audited,Gamma Case 1,amplitude_only,estimated_constraint_failed,True,True,True,False,article shape equation has no finite root,0.0,,False,60000.0,418131.6030076741,,,True
GaussianGammaTimeVarying,copula_margin,Gaussian copula + time-varying Gamma,positive_state,attempt,copula_density,article,article gamma Case 2 ODE restriction audited,Gamma Case 2,structural_failure,failed_diagnostic_retained,True,False,False,True,Case 2 requires a finite stationary endpoint satisfying Case 1; no finite shape root was found,,,False,0.0,,,,True
ParametricCopulaGrid,copula_margin,parametric margins and copulas,log_price,attempt,log_price_density,methodology,all declared margin x copula x reset combinations,parametric margins and copulas,log_price_density,estimated,True,True,True,True,,0.0,0.0,False,1256803.0,,,,True
TwoScaleGaussian,latent_factor,two latent OU factors,log_price,estimable,copula_density,empirical_extension,scalar observation is not one-dimensional Markov,existing article extension,copula_density,estimated_existing_pipeline,True,True,True,False,,0.0,,False,,,,,True
TwoScaleMixed,latent_factor,two latent OU factors + reset,log_price,estimable,copula_density,empirical_extension,latent-vector Markov extension,existing article extension,copula_density,estimated_existing_pipeline,True,True,True,False,,0.0,,False,,,,,True
FullyTimeVaryingMarginalCopula,time_varying,time-varying marginal-generator model,log_price,attempt,log_price_density,methodology,finite-dimensional deterministic trend/seasonal specification,time-varying marginal-generator model,log_price_density,estimated,True,True,True,False,,0.0,0.0,False,60000.0,474968.05065022054,-949922.1013004411,-949859.0866015527,True
MixedCopulaBondPDE,pricing,mixed-copula bond PDE,bond_prices,not_observable,not_comparable,article,no bond cross section or risk-neutral measure in stablecoin data,mixed-copula bond PDE,not_comparable,not_observable_diagnostic_retained,False,False,False,True,no bond-price cross section or risk-neutral measure in USDT spot data,,,False,0.0,,,,True
